date,sales,promotion,holiday,product_category,year,month,day,dayofweek,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,product_category_encoded,predicted_sales
2018-01-31,118.86,0,0,Electronics,2018,1,31,2,0,124.14,95.77,110.79,117.06,13.849791815523206,1,126.40756
2018-02-01,168.86,1,0,Electronics,2018,2,1,3,0,118.86,114.34,99.14,120.35857142857142,10.203857813871888,1,139.05899
2018-02-02,132.46,0,0,Grocery,2018,2,2,4,0,168.86,128.41,115.9,128.14714285714285,20.478626023479304,2,127.43512
2018-02-03,112.48,0,0,Grocery,2018,2,3,5,1,132.46,104.13,134.45,128.7257142857143,20.544395713626997,2,126.2782
2018-02-04,150.98,0,0,Clothing,2018,2,4,6,1,112.48,135.61,100.34,129.91857142857145,19.067629138211725,0,132.65758
2018-02-05,111.0,0,0,Clothing,2018,2,5,0,0,150.98,117.02,101.38,132.1142857142857,20.65143324900465,0,125.89696
2018-02-06,140.47,0,0,Grocery,2018,2,6,1,0,111.0,124.14,138.69,131.25428571428571,21.492977812255216,2,130.88188
2018-02-07,97.97,0,1,Grocery,2018,2,7,2,0,140.47,118.86,123.49,133.58714285714285,21.478319855368657,2,134.15138
2018-02-08,111.46,0,0,Clothing,2018,2,8,3,0,97.97,168.86,99.78,130.60285714285715,25.024187442209925,0,126.794
2018-02-09,142.81,0,0,Grocery,2018,2,9,4,0,111.46,132.46,121.05,122.40285714285714,19.102442002953183,2,132.8374
2018-02-10,154.49,0,0,Clothing,2018,2,10,5,1,142.81,112.48,101.96,123.88142857142856,20.36918377400153,0,131.26794
2018-02-11,143.98,1,0,Clothing,2018,2,11,6,1,154.49,150.98,102.94,129.88285714285715,22.52477873682352,0,133.65628
2018-02-12,139.06,1,0,Clothing,2018,2,12,0,0,143.98,111.0,118.12,128.88285714285715,21.56708117655679,0,129.60484
2018-02-13,136.17,0,0,Electronics,2018,2,13,1,0,139.06,140.47,76.03,132.89142857142858,20.257225401134797,1,133.92119
2018-02-14,113.42,0,0,Electronics,2018,2,14,2,0,136.17,97.97,80.82,132.27714285714288,20.05327879615177,1,124.26263
2018-02-15,129.39,0,0,Grocery,2018,2,15,3,0,113.42,111.46,105.08,134.4842857142857,16.11063505591141,2,133.9113
2018-02-16,135.35,0,0,Clothing,2018,2,16,4,0,129.39,142.81,97.08,137.04571428571427,12.956484679036013,0,136.83717
2018-02-17,166.48,0,0,Electronics,2018,2,17,5,1,135.35,154.49,124.63,135.98,12.707748292544448,1,142.164
2018-02-18,152.97,1,0,Grocery,2018,2,18,6,1,166.48,143.98,101.18,137.69285714285712,16.000072618882808,2,143.1593
2018-02-19,111.59,1,0,Grocery,2018,2,19,0,0,152.97,139.06,92.09,138.97714285714284,16.923017573988496,2,138.29591
2018-02-20,154.07,0,0,Grocery,2018,2,20,1,0,111.59,136.17,150.64,135.05285714285714,19.83506887164389,2,141.67226
2018-02-21,140.61,0,0,Grocery,2018,2,21,2,0,154.07,113.42,117.79,137.61,21.115596921075493,2,135.68028
2018-02-22,135.49,0,1,Grocery,2018,2,22,3,0,140.61,129.39,124.64,141.49428571428572,18.227455350965148,2,153.86829
2018-02-23,161.96,0,0,Clothing,2018,2,23,4,0,135.49,135.35,95.77,142.3657142857143,17.690217501152848,0,154.41597
2018-02-24,171.04,0,0,Grocery,2018,2,24,5,1,161.96,166.48,114.34,146.16714285714286,18.75820950436163,2,156.94252
2018-02-25,169.73,0,0,Clothing,2018,2,25,6,1,171.04,152.97,128.41,146.81857142857143,19.639666009186108,0,159.60631
2018-02-26,134.98,0,0,Electronics,2018,2,26,0,0,169.73,111.59,104.13,149.21285714285713,21.452521774285408,1,153.62856
2018-02-27,146.24,0,0,Grocery,2018,2,27,1,0,134.98,154.07,135.61,152.55428571428573,15.653556419275066,2,164.59724
2018-02-28,159.69,0,0,Electronics,2018,2,28,2,0,146.24,140.61,117.02,151.4357142857143,15.806208545107449,1,162.01576
2018-03-01,173.21,1,0,Clothing,2018,3,1,3,0,159.69,135.49,124.14,154.16142857142856,15.26405300979112,0,159.1364
2018-03-02,144.73,0,0,Clothing,2018,3,2,4,0,173.21,161.96,118.86,159.54999999999998,14.194581125673713,0,161.12051
2018-03-03,151.21,0,0,Electronics,2018,3,3,5,1,144.73,171.04,168.86,157.0885714285714,15.167567843451812,1,158.05869
2018-03-04,133.38,0,0,Grocery,2018,3,4,6,1,151.21,169.73,132.46,154.25571428571428,13.928809301998069,2,156.40903
2018-03-05,132.16,0,0,Grocery,2018,3,5,0,0,133.38,134.98,112.48,149.06285714285715,13.974094740251452,2,151.50755
2018-03-06,172.9,0,0,Electronics,2018,3,6,1,0,132.16,146.24,150.98,148.66,14.479270239437698,1,157.06805
2018-03-07,184.33,0,0,Electronics,2018,3,7,2,0,172.9,159.69,111.0,152.46857142857144,17.01998964802996,1,157.94957
2018-03-08,156.3,1,0,Electronics,2018,3,8,3,0,184.33,173.21,140.47,155.98857142857145,20.874023273414416,1,157.1949
2018-03-09,178.34,0,0,Grocery,2018,3,9,4,0,156.3,144.73,97.97,153.57285714285717,19.480839915402083,2,155.85648
2018-03-10,166.01,1,0,Grocery,2018,3,10,5,1,178.34,151.21,111.46,158.37428571428572,21.019268824218425,2,160.98233
2018-03-11,146.38,0,0,Grocery,2018,3,11,6,1,166.01,133.38,142.81,160.48857142857145,20.92264995052919,2,156.99588
2018-03-12,166.99,0,0,Electronics,2018,3,12,0,0,146.38,132.16,154.49,162.3457142857143,18.558816285117963,1,158.03757
2018-03-13,190.99,0,0,Grocery,2018,3,13,1,0,166.99,172.9,143.98,167.32142857142858,12.933586030913643,2,170.5426
2018-03-14,159.97,0,0,Clothing,2018,3,14,2,0,190.99,184.33,139.06,169.9057142857143,15.737412808487884,0,172.0827
2018-03-15,192.43,0,0,Electronics,2018,3,15,3,0,159.97,156.3,136.17,166.4257142857143,14.673573590123128,1,170.40076
2018-03-16,109.17,0,0,Grocery,2018,3,16,4,0,192.43,178.34,113.42,171.58714285714288,16.728682668085987,2,156.03847
2018-03-17,178.41,0,0,Electronics,2018,3,17,5,1,109.17,166.01,129.39,161.7057142857143,28.419163638375416,1,160.54837
2018-03-18,164.11,1,0,Clothing,2018,3,18,6,1,178.41,146.38,135.35,163.4771428571429,29.11023228711034,0,167.61159
2018-03-19,156.78,1,0,Clothing,2018,3,19,0,0,164.11,166.99,166.48,166.01000000000002,28.12950526878608,0,166.8725
2018-03-20,164.96,1,0,Electronics,2018,3,20,1,0,156.78,190.99,152.97,164.5514285714286,28.334181023733716,1,161.81955
2018-03-21,123.73,0,0,Electronics,2018,3,21,2,0,164.96,159.97,111.59,160.83285714285714,25.88863760692816,1,151.09084
2018-03-22,159.43,0,0,Clothing,2018,3,22,3,0,123.73,192.43,154.07,155.65571428571428,29.466328725707022,0,160.99408
2018-03-23,171.3,0,0,Electronics,2018,3,23,4,0,159.43,109.17,140.61,150.94142857142856,24.88611689849811,1,155.8912
2018-03-24,194.02,0,0,Clothing,2018,3,24,5,1,171.3,178.41,135.49,159.81714285714287,17.483725493808667,0,171.7094
2018-03-25,154.4,0,0,Clothing,2018,3,25,6,1,194.02,164.11,161.96,162.0471428571429,20.910183893887407,0,163.86824
2018-03-26,148.88,0,0,Grocery,2018,3,26,0,0,154.4,156.78,171.04,160.66000000000005,21.07197586052776,2,161.80396
2018-03-27,155.28,0,0,Electronics,2018,3,27,1,0,148.88,164.96,169.73,159.53142857142856,21.52118059693084,1,162.5333
